"DisplayName","Id","Owner","CreationTime","ModificationTime","WmiFilter"
"MSR-DC1","23b755d9-ec17-45fe-a4ea-3b05781f25f4","DIGIREVENGE\Domain Admins","1/22/2024 2:39:51 AM","1/22/2024 2:41:14 AM",
"MSR-File Print Sharing","326aa3d1-9169-4175-a6b1-320629cf206e","DIGIREVENGE\Domain Admins","1/22/2024 1:28:28 AM","1/22/2024 4:24:04 AM",
"MSR-GP3","40edc24d-e7b2-433a-9499-0adc4f7dcd32","DIGIREVENGE\Domain Admins","1/22/2024 1:28:29 AM","1/22/2024 4:24:06 AM",
"MSR-GP1","7fb3883a-9222-4438-838a-91ffa347adc6","DIGIREVENGE\Domain Admins","1/22/2024 1:28:30 AM","1/23/2024 6:37:26 PM",
"MSR-GP4","940856b0-592b-4b8f-9a5e-6f26e615e72b","DIGIREVENGE\Domain Admins","1/22/2024 1:28:29 AM","1/23/2024 6:57:38 PM",
"MSR-GP2","d4800d12-f2f9-4bb1-a7aa-f3b8f9db3676","DIGIREVENGE\Domain Admins","1/22/2024 1:28:30 AM","1/22/2024 4:24:06 AM",
