"DisplayName","Id","Owner","CreationTime","ModificationTime","WmiFilter"
"ER6-File Print Sharing","1bef710f-34e0-4bd3-b641-86029cf65b24","SONICBEATS37\devadmin","7/12/2024 12:38:05 PM","7/12/2024 12:38:04 PM",
"ER6-GP4","2aceb88f-18f0-48c8-8f8b-bf0924b64af1","SONICBEATS37\devadmin","7/12/2024 12:38:04 PM","7/12/2024 12:38:04 PM",
"ER6-GP5","31cf805e-bbc9-467a-8905-9915bad9c4db","SONICBEATS37\devadmin","7/12/2024 12:38:07 PM","7/18/2024 11:39:50 AM",
"ER6-GP3","9583ab08-dafa-444d-8e45-31490a11357c","SONICBEATS37\devadmin","7/12/2024 12:38:05 PM","7/12/2024 12:38:04 PM",
"ER6-GP2","97ab4006-69ce-42ed-aff4-24483be6d7d7","SONICBEATS37\devadmin","7/12/2024 12:38:06 PM","7/12/2024 12:38:06 PM",
"ER6-DC1","d9408c7f-f132-492b-915f-3e1a2a8a0a23","SONICBEATS37\devadmin","6/11/2024 3:36:27 PM","7/12/2024 12:38:06 PM",
"ER6-GP1","f1e0b861-cb6c-4ca8-aa87-c753f4d02eec","SONICBEATS37\devadmin","7/12/2024 12:38:05 PM","7/12/2024 12:38:06 PM",
