"DisplayName","Id","Owner","CreationTime","ModificationTime","WmiFilter"
"ER6-GP1","0b361dc8-f295-4300-b5db-04a0b9fb41dc","ENCRYPTPOTTER\devadmin","7/12/2024 12:36:12 PM","7/12/2024 12:36:12 PM",
"ER6-GP4","156c22e5-7782-48b7-9840-6b25874bad2a","ENCRYPTPOTTER\devadmin","7/12/2024 12:36:13 PM","7/12/2024 12:36:12 PM",
"ER6-GP3","1c6b721f-9b43-4c8a-a496-08b0e7980010","ENCRYPTPOTTER\devadmin","7/12/2024 12:36:13 PM","7/12/2024 12:36:12 PM",
"ER6-DC1","1d26706f-4c2b-4514-8ac9-329959092970","ENCRYPTPOTTER\devadmin","6/11/2024 1:20:23 PM","7/12/2024 12:36:12 PM",
"ER6-File Print Sharing","240a99be-ebc3-4916-bc56-7d7fa2e1b3a1","ENCRYPTPOTTER\devadmin","7/12/2024 12:36:13 PM","7/12/2024 12:36:12 PM",
"ER6-GP5","43630d5e-0cd3-4cd6-8229-fccd0e730276","ENCRYPTPOTTER\devadmin","7/12/2024 12:36:12 PM","7/18/2024 11:38:18 AM",
"ER6-GP2","b74f3785-b05e-4eab-8b42-1061db069bc2","ENCRYPTPOTTER\devadmin","7/12/2024 12:36:12 PM","7/12/2024 12:36:12 PM",
