"DisplayName","Id","Owner","CreationTime","ModificationTime","WmiFilter"
"MSR-File Print Sharing","122259de-5d77-4b0a-aa5f-255f77070644","DIGIRUNAWAY\Domain Admins","1/22/2024 1:23:46 AM","1/22/2024 4:23:12 AM",
"MSR-GP1","7464aa12-9b36-4b6e-969f-5bc0b99ceb58","DIGIRUNAWAY\Domain Admins","1/22/2024 1:23:47 AM","1/22/2024 4:23:12 AM",
"MSR-GP4","7dc01596-f5e6-4cce-8cce-fb61d8e4ee22","DIGIRUNAWAY\Domain Admins","1/22/2024 1:23:45 AM","1/23/2024 6:40:28 PM",
"MSR-DC1","d91ea2c8-f746-4875-8f7f-0527ce6bfb65","DIGIRUNAWAY\Domain Admins","1/22/2024 2:28:53 AM","1/22/2024 4:23:12 AM",
"MSR-GP3","ebdde54d-344a-4ea2-87b4-427269b1279e","DIGIRUNAWAY\Domain Admins","1/22/2024 1:23:48 AM","1/22/2024 4:23:14 AM",
"MSR-GP2","f660b634-d6b7-4244-8018-9c1901be31e4","DIGIRUNAWAY\Domain Admins","1/22/2024 1:23:46 AM","1/22/2024 4:23:14 AM",
