"DisplayName","Id","Owner","CreationTime","ModificationTime","WmiFilter"
"ER6-DC1","24eb7489-9428-4736-aa81-7d8e1a3c7f3e","DECRYPTMALFOY\devadmin","6/11/2024 3:33:21 PM","7/12/2024 12:37:10 PM",
"ER6-File Print Sharing","5c8719ea-9ea5-4cc8-b484-e5a984c888d4","DECRYPTMALFOY\devadmin","7/12/2024 12:37:10 PM","7/12/2024 12:37:12 PM",
"ER6-GP2","936bf9b2-501a-4d77-9444-a41a3c685212","DECRYPTMALFOY\devadmin","7/12/2024 12:37:10 PM","7/12/2024 12:37:12 PM",
"ER6-GP4","c60f7ac0-418e-40c3-9f00-a83542713b99","DECRYPTMALFOY\devadmin","7/12/2024 12:37:09 PM","7/12/2024 12:37:10 PM",
"ER6-GP1","d0eeca67-b201-4a48-b271-f1e507fdae08","DECRYPTMALFOY\devadmin","7/12/2024 12:37:09 PM","7/12/2024 12:37:12 PM",
"ER6-GP5","e2ce6b09-5497-4520-9a68-8280a1092428","DECRYPTMALFOY\devadmin","7/12/2024 12:37:09 PM","7/18/2024 11:36:40 AM",
"ER6-GP3","f456b9b5-872a-44ac-a2ba-c4051ff7657d","DECRYPTMALFOY\devadmin","7/12/2024 12:37:10 PM","7/12/2024 12:37:12 PM",
